subject,session,scan,snr,bg_mean,bg_size,bg_std,dvars,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gcor,ghost_y,m_tsnr,mean_fd,num_fd,outlier,perc_fd,quality
sub-50003,session_1,bart,9.19873737226,55.8919002586,106248,80.3624557459,1.00479548315,0.544742541633,60.0342582438,739.233124996,33016,169.651600061,2.06805898935,2.07520333333,2.20829666667,1.93005761504,0.033170549493,0.02568349801,40.9417648315,0.121804983173,3,n/a,1.11940298507,0.0134475998127
sub-50003,session_1,rest,9.20987353498,59.3963155337,105950,85.8487435787,1.19955453394,0.544084908851,60.6763808161,790.656071496,33314,190.017349272,2.12721217097,2.14837666667,2.28749333333,1.9586725,0.0161302044853,0.0222935173661,52.050201416,0.154210467346,0,n/a,0,0.00781022953947
sub-50004,session_1,pamenc,9.58736189038,57.0001515269,99983,81.1197622932,1.17250712026,0.572107654681,64.7840919124,777.724517567,39281,178.695373165,2.0917966425,2.06176333333,2.29007351533,1.9385175,0.0191289467259,0.0230659935623,40.3422889709,0.226344145484,2,n/a,0.82304526749,0.0154629886364
sub-50004,session_1,scap,9.82937352403,52.8394275401,100211,75.1871918142,1.16692507182,0.568897483172,68.0990031757,739.042992565,39053,170.048755121,2.16947536641,2.14088333333,2.38351,2.0010375,0.0343776834434,0.032637193799,36.9492073059,0.260653530317,1,n/a,0.342465753425,0.018493657079
sub-50004,session_1,pamret,9.69317470708,56.9640305803,100045,80.5367072937,1.16235190027,0.571667980824,65.9165577783,780.65637413,39219,178.914253008,2.06238048722,2.04023,2.26370684657,1.8993575,0.0195472476243,0.025777650997,47.6549949646,0.223543298744,0,n/a,0,0.0110232361567
sub-50004,session_1,bht,10.0599172969,53.7524005088,100095,74.4871954694,1.19011035797,0.570013127966,70.2002859388,749.335026098,39169,175.556892291,2.21993680406,2.19026,2.41809333333,2.06563,0.0441456076444,0.0333025418222,32.1796264648,0.381819433437,1,n/a,1.25,0.0208177363291
sub-50004,session_1,stopsignal,9.49882220144,54.04141364,100259,78.0715435457,1.13275582347,0.569904866564,64.2223093374,741.587711133,39005,170.43992872,2.19748930821,2.15355,2.39731333333,2.055425,0.0233569519024,0.0278625357896,35.1044921875,0.218729641275,2,n/a,1.08108108108,0.0207436808696
sub-50004,session_1,taskswitch,9.97368915818,52.667892781,100102,73.9189301356,1.13742787622,0.569566439212,69.510579518,737.244432077,39162,170.557810305,2.19362489851,2.16107666667,2.40188,2.0336,0.0624338606492,0.0311436764896,27.4926929474,0.461627063981,7,n/a,3.34928229665,0.0287328538462
sub-50004,session_1,bart,9.66502868366,56.2712490206,99807,80.1743002076,1.15520134737,0.572033418291,65.9292462254,774.886911198,39457,179.154898215,2.08967969691,2.06843,2.29730684924,1.920345,0.0139274861785,0.0231518577784,42.3908195496,0.179227121108,2,n/a,0.746268656716,0.0140143743071
sub-50004,session_1,rest,10.10855629,52.695287485,100152,73.0469381031,1.1137641118,0.569829801643,70.7474054229,738.399085631,39112,169.448087324,2.24660607665,2.20973333333,2.46061,2.08544,0.0671373743975,0.0322789102793,20.9417991638,0.575756673769,15,n/a,9.80392156863,0.0446717776316
